X,Y,Intersecti,Location,Longitude,Latitude,TSIs,TSIscont
-92.03898,30.216354,53.00000000000,CAJUNDOME @ SOUVENIR GATE,-92.03898000000,30.21635400000,053 _Cajundome @ Reinhardt_TSI Layout1-A (1).pdf#\\Becky-34318\TSI - .pdf's\053 _Cajundome @ Reinhardt_TSI Layout1-A (1).pdf#,
-92.056521,30.207291,54.00000000000,CONGRESS @ FOREMAN,-92.05652100000,30.20729100000,,
-92.020796,30.226938,55.00000000000,CONGRESS @ LAFAYETTE,-92.02079600000,30.22693800000,,
-92.008121,30.273035,56.00000000000,MOSS @ PONT DES MOUTON,-92.00812100000,30.27303500000,,
-92.005487,30.255597,57.00000000000,MOSS @ ALEXANDER,-92.00548700000,30.25559700000,,
-92.006191,30.246141,58.00000000000,MOSS @ PINE,-92.00619100000,30.24614100000,,
-92.006362,30.243787,59.00000000000,MOSS @ WILLOW,-92.00636200000,30.24378700000,,
-92.008756,30.232478,60.00000000000,MOSS @ MUDD,-92.00875600000,30.23247800000,,
-92.01576,30.227292,61.00000000000,JEFFERSON @ CYPRESS,-92.01576000000,30.22729200000,,
-92.01739,30.226603,62.00000000000,JEFFERSON @ GARFIELD,-92.01739000000,30.22660300000,,
-92.018336,30.225698,63.00000000000,JEFFERSON @ CONGRESS,-92.01833600000,30.22569800000,,
-92.018776,30.224074,64.00000000000,JEFFERSON @ VERMILION,-92.01877600000,30.22407400000,,
-92.020661,30.21856,65.00000000000,UNIVERSITY @ LEE,-92.02066100000,30.21856000000,,
-92.060736,30.22712,66.00000000000,BERTRAND @ BANKS,-92.06073600000,30.22712000000,,
-92.022768,30.220144,67.00000000000,UNIVERSITY @ ST JOHN/ST LANDRY,-92.02276800000,30.22014400000,,
-92.028279,30.226078,68.00000000000,UNIVERSITY @ CONGRESS,-92.02827900000,30.22607800000,,
-92.03234,30.232349,69.00000000000,UNIVERSITY @ CAMERON,-92.03234000000,30.23234900000,,
-92.03241,30.239067,70.00000000000,UNIVERSITY @ MADELINE,-92.03241000000,30.23906700000,,
-92.022838,30.231856,71.00000000000,CAMERON @ ST JOHN,-92.02283800000,30.23185600000,,
-92.019091,30.233132,72.00000000000,CAMERON @ PIERCE,-92.01909100000,30.23313200000,,
-92.024939,30.23197,73.00000000000,CAMERON @ ST ANTOINE,-92.02493900000,30.23197000000,,
-92.045385,30.212553,75.00000000000,COLLEGE @ BERTRAND/REINHARDT,-92.04538500000,30.21255300000,,
-92.052413,30.224725,76.00000000000,ERASTE LANDRY @ N BERTRAND,-92.05241300000,30.22472500000,,
-92.046926,30.214905,77.00000000000,BERTRAND @ CONGRESS,-92.04692600000,30.21490500000,,
-92.02285,30.226984,78.00000000000,CONGRESS @ ST JOHN,-92.02285000000,30.22698400000,,
-92.014069,30.188609,79.00000000000,PINHOOK @ KALISTE SALOOM,-92.01406900000,30.18860900000,,
-92.02728,30.224666,80.00000000000,UNIVERSITY @ VERSAILLES,-92.02728000000,30.22466600000,,
-92.020776,30.224071,81.00000000000,VERMILION @ LAFAYETTE,-92.02077600000,30.22407100000,,
-92.019788,30.224082,82.00000000000,BUCHANAN @ VERMILION,-92.01978800000,30.22408200000,,
-92.014172,30.203034,83.00000000000,PINHOOK @ AUDUBON/RIVER RD,-92.01417200000,30.20303400000,,
-92.022867,30.230548,84.00000000000,SIMCOE @ ST JOHN,-92.02286700000,30.23054800000,,
-92.008171,30.220523,85.00000000000,SB THRUWAY @ TAFT,-92.00817100000,30.22052300000,,
-92.007313,30.22088,86.00000000000,NB THRUWAY @ 14TH,-92.00731300000,30.22088000000,,
