devicenum,organization,organizationdevicenum,site,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail,mqttgateway,mqttgroup,locname,locdesc,thname,thdesc,thnetid,thdeploytime,createFoi,dssensorid,dsobspropertyid,dsname,dsdesc,dsmunit,dsmsymbol,dsmdefinition,dsobstype
136,Intersections,91,ST MARY @ ST LANDRY,"605-699,W St Mary Blvd,Lafayette,LA,US,70506",-92.026315,30.217882,,,,,,,0,7,,,,,,,,,,,,,,,
137,Intersections,92,SURREY @ 12TH,"712,LA 728-8,Lafayette,LA,US,70501",-92.002581,30.226809,,,,,,,0,7,,,,,,,,,,,,,,,
138,Intersections,93,VERMILION @ LEE,"400,E Vermilion St,Lafayette,LA,US,70501",-92.016567,30.224024,,,,,,,0,7,,,,,,,,,,,,,,,
139,Intersections,94,JEFFERSON @ LAMAR,"1335,Jefferson St,Lafayette,LA,US,70501",-92.014444,30.218148,,,,,,,0,7,,,,,,,,,,,,,,,
140,Intersections,95,WILLOW @ CORA,"301-399,Cora St,Lafayette,LA,US,70501",-92.027097,30.245763,,,,,,,0,7,,,,,,,,,,,,,,,
141,Intersections,96,VEROT SCHOOL @ DIGBY,"2279-2299,LA-339,Lafayette,LA,US,70508",-92.026651,30.152634,,,,,,,0,7,,,,,,,,,,,,,,,
142,Intersections,97,KALISTE @ RIVER RANCH,"1803,Kaliste Saloom Rd,Lafayette,LA,US,70508",-92.034288,30.168688,,,,,,,0,7,,,,,,,,,,,,,,,
143,Intersections,98,CAMELLIA @ CAMBRIDGE,"313,Cambridge Dr,Lafayette,LA,US,70503",-92.053629,30.18712,,,,,,,0,7,,,,,,,,,,,,,,,
144,Intersections,99,CONGRESS @ GUILBEAU,"415,Guilbeau Rd,Lafayette,LA,US,70506",-92.07007,30.198256,,,,,,,0,7,,,,,,,,,,,,,,,
145,Intersections,100,BENDEL @ MARGUERITE,"101,Marguerite Blvd,Lafayette,LA,US,70503",-92.018597,30.200826,,,,,,,0,7,,,,,,,,,,,,,,,
146,Intersections,101,PINHOOK @ SAGE GLENN,"2437-2499,LA-182,Lafayette,LA,US,70508",-92.004122,30.180332,,,,,,,0,7,,,,,,,,,,,,,,,
147,Intersections,102,SIMCOE @ ST ANTOINE,"820-898,W Simcoe St,Lafayette,LA,US,70501",-92.024926,30.230551,,,,,,,0,7,,,,,,,,,,,,,,,
148,Intersections,103,ST ANTOINE @ MADELINE,"500-598,N St Antoine St,Lafayette,LA,US,70501",-92.024925,30.238185,,,,,,,0,7,,,,,,,,,,,,,,,
149,Intersections,104,MLK @ ST ANTOINE,"1523-1549,N St Antoine St,Lafayette,LA,US,70501",-92.025527,30.249668,,,,,,,0,7,,,,,,,,,,,,,,,
150,Intersections,105,VEROT SCHOOL @ RUE LOUIS XIV,"1555,Verot School Rd,Lafayette,LA,US,70508",-92.020575,30.165348,,,,,,,0,7,,,,,,,,,,,,,,,
151,Intersections,106,PINHOOK @ VEROT SCHOOL,"151-199,E Verot School Rd,Lafayette,LA,US,70508",-92.00236,30.176732,,,,,,,0,7,,,,,,,,,,,,,,,
152,Intersections,107,AMBASSADOR @ KALISTE,"2517-2603,Kaliste Saloom Rd,Lafayette,LA,US,70508",-92.048334,30.156484,,,,,,,0,7,,,,,,,,,,,,,,,
153,Intersections,108,BERTRAND @ DEVALCOURT,"1101-1103,LA-3025,Lafayette,LA,US,70506",-92.049271,30.218245,,,,,,,0,7,,,,,,,,,,,,,,,
154,Intersections,109,KALISTE SALOOM @ RUE LOUIS XIV,"1235,Kaliste Saloom Rd,Lafayette,LA,US,70508",-92.029834,30.172837,,,,,,,0,7,,,,,,,,,,,,,,,
155,Intersections,110,KALISTE @ BEADLE,"100,S Beadle Rd,Lafayette,LA,US,70508",-92.02247,30.180186,,,,,,,0,7,,,,,,,,,,,,,,,
156,Intersections,111,KALISTE @ E. BAYOU/FEU FOLLET,"445-503,Kaliste Saloom Rd,Lafayette,LA,US,70508",-92.017253,30.182888,,,,,,,0,7,,,,,,,,,,,,,,,
