devicenum,organization,organizationdevicenum,site,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail,mqttgateway,mqttgroup
136,Intersections,19,JOHNSTON @ LEWIS,"1730-1798,US-167,Lafayette,LA,US,70503",-92.025426,30.212282000000002,,,,,,,0,8
137,Intersections,20,JOHNSTON @ ST JULIEN,"1998,US-167,Lafayette,LA,US,70503",-92.026909,30.211509999999997,,,,,,,0,8
138,Intersections,21,JOHNSTON @ COLLEGE,"2701,US-167,Lafayette,LA,US,70503",-92.038364,30.207271000000002,,,,,,,0,8
139,Intersections,22,JOHNSTON @ BERTRAND,"2898,US-167,Lafayette,LA,US,70503",-92.040778,30.205814,,,,,,,0,8
140,Intersections,23,JOHNSTON @ VITAL/DOUCET,"3144-3198,US-167,Lafayette,LA,US,70503",-92.04888100000001,30.203424,,,,,,,0,8
141,Intersections,24,COLLEGE @ PINHOOK,"1631-1699,LA-3025,Lafayette,LA,US,70503",-92.01535600000001,30.201021,,,,,,,0,8
142,Intersections,25,COLLEGE @ COOLIDGE/BENDEL,"1404,S College Rd,Lafayette,LA,US,70503",-92.019356,30.20144,,,,,,,0,8
143,Intersections,26,JOHNSTON @ ARNOULD,"3601,US-167,Lafayette,LA,US,70503",-92.05301999999999,30.201925,,,,,,,0,8
144,Intersections,27,JOHNSTON @ BRENTWOOD,"4200,Johnston St,Lafayette,LA,US,70503",-92.057046,30.196231,,,,,,,0,8
145,Intersections,28,JOHNSTON @ GUILBEAU/CAMELLIA,"4405-4499,US-167,Lafayette,LA,US,70503",-92.058626,30.193734999999997,,,,,,,0,8
146,Intersections,29,JOHNSTON @ LANA,"4573-4603,US-167,Lafayette,LA,US,70503",-92.063576,30.188856,,,,,,,0,8
147,Intersections,30,JOHNSTON @ RIDGE,"5403-5405,US-167,Lafayette,LA,US,70503",-92.071253,30.181365999999997,,,,,,,0,8
148,Intersections,31,JOHNSTON @ AMBASSADOR,"3501,LA-3073,Lafayette,LA,US,70503",-92.074486,30.178089,,,,,,,0,8
149,Intersections,32,THRUWAY @ SURREY/UNIVERSITY,"1806,LA 728-8,Lafayette,LA,US,70508",-91.99951999999999,30.209169,,,,,,,0,8
150,Intersections,33,THRUWAY @ PINHOOK,"1401-1407,US-90,Lafayette,LA,US,70501",-92.00466800000001,30.21769,,,,,,,0,8
151,Intersections,34,SURREY @ BLUE BLVD,"1726-1798,LA 728-8,Lafayette,LA,US,70508",-91.995171,30.210632,,,,,,,0,8
152,Intersections,35,NB THRUWAY @ 12TH,"815-899,US-90,Lafayette,LA,US,70501",-92.008184,30.222501,,,,,,,0,8
153,Intersections,36,NB THRUWAY @ JEFFERSON,"401-415,Jefferson Blvd,Lafayette,LA,US,70501",-92.011668,30.229021999999997,,,,,,,0,8
154,Intersections,37,NB THRUWAY @ 3RD,"37,US-167,Lafayette,LA,US,70501",-92.01214,30.229874,,,,,,,0,8
155,Intersections,38,NB THRUWAY @ MUDD,"608,US-167,Lafayette,LA,US,70501",-92.012778,30.232959,,,,,,,0,8
156,Intersections,39,NB THRUWAY @ WILLOW,"101,E Willow St,Lafayette,LA,US,70501",-92.011811,30.244646000000003,,,,,,,0,8
157,Intersections,40,SB THRUWAY @ WILLOW,,-92.013375,30.244843,,,,,,,0,8
158,Intersections,41,SB THRUWAY @ MUDD,"600,US-167,Lafayette,LA,US,70501",-92.014062,30.233118,,,,,,,0,8
159,Intersections,42,SB THRUWAY @ 3RD,"301,E 3rd St,Lafayette,LA,US,70501",-92.01298,30.229514,,,,,,,0,8
160,Intersections,43,SB THRUWAY @ JEFFERSON,"301,Jefferson Blvd,Lafayette,LA,US,70501",-92.012525,30.228666999999998,,,,,,,0,8
161,Intersections,44,LOUISIANA @ ARDOIN DR (TARGET),"22201-22491,Pine Hill Cemetery Rd,Iowa,LA,US,70647",-92.992489,30.263788,,,,,,,0,8
162,Intersections,45,PINHOOK @ SURREY,"1108-1198,LA 728-8,Lafayette,LA,US,70501",-91.998204,30.223605,,,,,,,0,8
163,Intersections,46,PINHOOK @ GENERAL MOUTON,"200,W Pinhook Rd,Lafayette,LA,US,70501",-92.008606,30.212457,,,,,,,0,8
164,Intersections,47,PINHOOK @ UNIVERSITY,"400-440,LA-182,Lafayette,LA,US,70503",-92.009791,30.210532,,,,,,,0,8
165,Intersections,48,PINHOOK @ ST MARY,"700-748,LA-182,Lafayette,LA,US,70503",-92.011829,30.207010999999998,,,,,,,0,8
166,Intersections,49,UNIVERSITY @ TAFT,"703,E University Ave,Lafayette,LA,US,70503",-92.01316,30.212951,,,,,,,0,8
167,Intersections,50,UNIVERSITY @ MCKINLEY,"501,E University Ave,Lafayette,LA,US,70503",-92.0149,30.214240999999998,,,,,,,0,8
168,Intersections,51,COLLEGE @ W BAYOU PKWY,"1198,LA-3025,Lafayette,LA,US,70503",-92.026544,30.199146000000002,,,,,,,0,8
169,Intersections,52,CONGRESS @ ST MARY,"1600,W St Mary Blvd,Lafayette,LA,US,70506",-92.031724,30.224463,,,,,,,0,8
170,Intersections,53,CAJUNDOME @ SOUVENIR GATE,"201,Reinhardt Dr,Lafayette,LA,US,70506",-92.03898000000001,30.216354,,,,,,,0,8
171,Intersections,54,CONGRESS @ FOREMAN,,-92.05652099999999,30.207290999999998,,,,,,,0,8
172,Intersections,55,CONGRESS @ LAFAYETTE,"460-498,W Congress St,Lafayette,LA,US,70501",-92.02079599999999,30.226938,,,,,,,0,8
173,Intersections,56,MOSS @ PONT DES MOUTON,"500,E Pont Des Mouton Rd,Lafayette,LA,US,70507",-92.008121,30.273034999999997,,,,,,,0,8
174,Intersections,57,MOSS @ ALEXANDER,"2527,Moss St,Lafayette,LA,US,70501",-92.005487,30.255596999999998,,,,,,,0,8
