devicenum,locationgroup,locationgroupdevicenum,location,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail
80,Bayou Vermilion District Boat Launch Locations,6,Camellia Bridge," Bellaire Road, Lafayette, LA 70503",,,,,,,,
81,Bayou Vermilion District Boat Launch Locations,7,Southside Park,"632 E Broussard Road, Lafayette, LA 70503",,,,,,,,
82,Lafayette Parks and Recreation,1,Acadiana Park,"1005 E Alexander St.,Lafayette, LA 70501",,,,,,,,
83,Lafayette Parks and Recreation,2,Arceneaux Park,"835 E. Main St., Broussard, LA 70518",,,,,,,,
84,Lafayette Parks and Recreation,3,Beaullieu Park,"411 W. Bluebird Dr.,Lafayette, LA 70508",,,,,,,,
85,Lafayette Parks and Recreation,4,Beaver Park,"1632 Surrey Street,Lafayette, LA 70508",,,,,,,,
86,Lafayette Parks and Recreation,5,Broadmoor Park,"605 Broadmoor Blvd. ,Lafayette, LA 70503",,,,,,,,
87,Lafayette Parks and Recreation,6,Carencro Park,"4300 N University Ave.,Carencro, LA 70520",,,,,,,,
88,Lafayette Parks and Recreation,7,Chargois Park,"606 Guilbeau Rd.,Lafayette, LA 70520",,,,,,,,
89,Lafayette Parks and Recreation,8,City Park,"901 Mudd Ave.,Lafayette, LA 70501  ",,,,,,,,
90,Lafayette Parks and Recreation,9,City Park,"901 Mudd Ave. ,Lafayette, LA 70501 ",,,,,,,,
91,Lafayette Parks and Recreation,10,Deballion Park,"510 Saucier Pkwy.,Lafayette, LA 70506",,,,,,,,
92,Lafayette Parks and Recreation,11,Dorsey Park,"310 Cora St. ,Lafayette, LA 70501",,,,,,,,
93,Lafayette Parks and Recreation,12,Duson Park,"101 B. Robin Rd.,Duson, LA 70529",,,,,,,,
94,Lafayette Parks and Recreation,13,Dalton Park,"2036 Carmel Dr.,Lafayette, LA 70501",,,,,,,,
95,Lafayette Parks and Recreation,14,Derby Playground,"105 Aris Dr.,Lafayette, LA 70501  ",,,,,,,,
96,Lafayette Parks and Recreation,15,Eraste Landry Playground,"1000 Jeanne St.,Lafayette, LA 70506",,,,,,,,
97,Lafayette Parks and Recreation,16,Foster Memorial Park,"399 4th st.,Youngsville, LA 70592",,,,,,,,
98,Lafayette Parks and Recreation,17,Girard Park,"500 Girard Park DR.,Lafayette, LA 70503 ",,,,,,,,
